,Annual Return,Annual Volatility
2020,-0.31328535,0.577011374
2021,0.159585719,0.174640173
2022,0.094450052,0.192507612
2023,-0.151095416,0.194235665
2024,0.055793197,0.131402193
2025,0.085672796,0.17572924
